id;titulo;temas;fontes;divisao-administrativa;descricao_do_conjunto_de_dados;tipos;descricao_do_tipo_de_arquivo;nome_arquivo;data_ref;data_lancamento
54;Divisão Territorial da RM Cuiabá-Várzea Grande;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Cuiabá-Várzea Grande;Mapa da Divisão Territorial da RM Cuiabá-Várzea Grande;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMcvgDT1.jpg#RMcvgDT2.jpg#RMcvgDT3.jpg#DataMunCVG.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
55;Divisão Territorial da RM Curitiba;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Curitiba;Mapa da Divisão Territorial da RM Curitiba;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMcurDT1.jpg#RMcurDT2.jpg#RMcurDT3.jpg#DataMunCUR.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
56;Divisão Territorial da RM DF e entorno;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM DF e entorno;Mapa da Divisão Territorial da RM DF e entorno;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMdfeDT1.jpg#RMdfeDT2.jpg#RMdfeDT3.jpg#DataMunDFE.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
57;Divisão Territorial da RM Florianópolis;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Florianópolis;Mapa da Divisão Territorial da RM Florianópolis;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMfloDT1.jpg#RMfloDT2.jpg#RMfloDT3.jpg#DataMunFLO.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
58;Divisão Territorial da RM Fortaleza;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Fortaleza;Mapa da Divisão Territorial da RM Fortaleza;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMforDT1.jpg#RMforDT2.jpg#RMforDT3.jpg#DataMunFOR.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
59;Divisão Territorial da RM Foz do Itajaí;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Foz do Itajaí;Mapa da Divisão Territorial da RM Foz do Itajaí;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMfriDT1.jpg#RMfriDT2.jpg#RMfriDT3.jpg#DataMunFRI.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
60;Divisão Territorial da RM Goiânia;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Goiânia;Mapa da Divisão Territorial da RM Goiânia;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMgoiDT1.jpg#RMgoiDT2.jpg#RMgoiDT3.jpg#DataMunGOI.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
61;Divisão Territorial da RM João Pessoa;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM João Pessoa;Mapa da Divisão Territorial da RM João Pessoa;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMjpsDT1.jpg#RMjpsDT2.jpg#RMjpsDT3.jpg#DataMunJPS.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
62;Divisão Territorial da RM Litoral Norte RS;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Litoral Norte RS;Mapa da Divisão Territorial da RM Litoral Norte RS;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMlinDT1.jpg#RMlinDT2.jpg#RMlinDT3.jpg#DataMunLIN.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
63;Divisão Territorial da RM Londrina;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Londrina;Mapa da Divisão Territorial da RM Londrina;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMlonDT1.jpg#RMlonDT2.jpg#RMlonDT3.jpg#DataMunLON.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
64;Divisão Territorial da RM Macapá;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Macapá;Mapa da Divisão Territorial da RM Macapá;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2008#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMmcpDT1.jpg#RMmcpDT2.jpg#RMmcpDT3.jpg#DataMunMCP.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
65;Divisão Territorial da RM Maceió;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Maceió;Mapa da Divisão Territorial da RM Maceió;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2009#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMmceDT1.jpg#RMmceDT2.jpg#RMmceDT3.jpg#DataMunMCE.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
66;Divisão Territorial da RM Manaus;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Manaus;Mapa da Divisão Territorial da RM Manaus;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2010#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMmanDT1.jpg#RMmanDT2.jpg#RMmanDT3.jpg#DataMunMAN.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
67;Divisão Territorial da RM Maringá;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Maringá;Mapa da Divisão Territorial da RM Maringá;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2011#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMmarDT1.jpg#RMmarDT2.jpg#RMmarDT3.jpg#DataMunMAR.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
68;Divisão Territorial da RM Natal;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Natal;Mapa da Divisão Territorial da RM Natal;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2008#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMnatDT1.jpg#RMnatDT2.jpg#RMnatDT3.jpg#DataMunNAT.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
69;Divisão Territorial da RM Nordeste RS;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Nordeste RS;Mapa da Divisão Territorial da RM Nordeste RS;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2009#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMnrsDT1.jpg#RMnrsDT2.jpg#RMnrsDT3.jpg#DataMunNRS.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
70;Divisão Territorial da RM N/NE Catarinense;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM N/NE Catarinense;Mapa da Divisão Territorial da RM N/NE Catarinense;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2010#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMnncDT1.jpg#RMnncDT2.jpg#RMnncDT3.jpg#DataMunNNC.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
71;Divisão Territorial da RM Petrolina e Juazeiro;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Petrolina e Juazeiro;Mapa da Divisão Territorial da RM Petrolina e Juazeiro;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2011#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMpejDT1.jpg#RMpejDT2.jpg#RMpejDT3.jpg#DataMunPEJ.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
72;Divisão Territorial da RM Porto Alegre;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Porto Alegre;Mapa da Divisão Territorial da RM Porto Alegre;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2008#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMpoaDT1.jpg#RMpoaDT2.jpg#RMpoaDT3.jpg#DataMunPOA.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
73;Divisão Territorial da RM Recife;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Recife;Mapa da Divisão Territorial da RM Recife;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2009#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMrecDT1.jpg#RMrecDT2.jpg#RMrecDT3.jpg#DataMunREC.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
74;Divisão Territorial da RM Rio de Janeiro;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Rio de Janeiro;Mapa da Divisão Territorial da RM Rio de Janeiro;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2010#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMrioDT1.jpg#RMrioDT2.jpg#RMrioDT3.jpg#DataMunRIO.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
75;Divisão Territorial da RM Salvador;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Salvador;Mapa da Divisão Territorial da RM Salvador;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2011#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMssaDT1.jpg#RMssaDT2.jpg#RMssaDT3.jpg#DataMunSSA.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
76;Divisão Territorial da RM São Luís;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Luís;Mapa da Divisão Territorial da RM São Luís;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2012#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMsluDT1.jpg#RMsluDT2.jpg#RMsluDT3.jpg#DataMunSLU.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
77;Divisão Territorial da RM São Paulo;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM São Paulo;Mapa da Divisão Territorial da RM São Paulo;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2008#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMsaoDT1.jpg#RMsaoDT2.jpg#RMsaoDT3.jpg#DataMunSAO.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
78;Divisão Territorial da RM Sul RS;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Sul RS;Mapa da Divisão Territorial da RM Sul RS;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2009#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMsrsDT1.jpg#RMsrsDT2.jpg#RMsrsDT3.jpg#DataMunSRS.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
79;Divisão Territorial da RM Teresina;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Teresina;Mapa da Divisão Territorial da RM Teresina;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2010#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMterDT1.jpg#RMterDT2.jpg#RMterDT3.jpg#DataMunTER.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
80;Divisão Territorial da RM Tubarão;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Tubarão;Mapa da Divisão Territorial da RM Tubarão;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2011#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMtubDT1.jpg#RMtubDT2.jpg#RMtubDT3.jpg#DataMunTUB.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
81;Divisão Territorial da RM Vale do Aço;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Vale do Aço;Mapa da Divisão Territorial da RM Vale do Aço;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2012#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMvlaDT1.jpg#RMvlaDT2.jpg#RMvlaDT3.jpg#DataMunVLA.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
82;Divisão Territorial da RM Vale do Itajaí;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Vale do Itajaí;Mapa da Divisão Territorial da RM Vale do Itajaí;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2008#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMvliDT1.jpg#RMvliDT2.jpg#RMvliDT3.jpg#DataMunVLI.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
83;Divisão Territorial da RM Vitória;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Vitória;Mapa da Divisão Territorial da RM Vitória;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2009#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMvitDT1.jpg#RMvitDT2.jpg#RMvitDT3.jpg#DataMunVIT.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
84;Demografia da RM Aracaju;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Aracaju;Demografia da RM Aracaju;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da RM Aracaju#Dados das 36 RMs#Dicionário das 36 RMs;RMaraDT1.jpg#RMaraDT2.jpg#RMaraDT3.jpg#DataMunARA.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
85;Demografia da RM Baixada Santista ;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Baixada Santista;Demografia da RM Baixada Santista ;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da RM Baixada Santista #Dados das 36 RMs#Dicionário das 36 RMs;RMbxsDT1.jpg#RMbxsDT2.jpg#RMbxsDT3.jpg#DataMunBXS.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
86;Demografia da RM Belém;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Belém;Demografia da RM Belém;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da RM Belém#Dados das 36 RMs#Dicionário das 36 RMs;RMbelDT1.jpg#RMbelDT2.jpg#RMbelDT3.jpg#DataMunBEL.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
87;Demografia da RM Belo Horizonte;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Belo Horizonte;Demografia da RM Belo Horizonte;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs#Dicionário das 36 RMs;RMbhzDT1.jpg#RMbhzDT2.jpg#DataMunBHZ.xls#DataRmBr08.xls#DicRm08im.pdf#DicRm08im.pdf;2007;2008-01-01
88;Demografia da RM Campinas;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Campinas;Demografia da RM Campinas;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMcamDT1.jpg#RMcamDT2.jpg#RMcamDT3.jpg#DataMunCAM.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
89;Demografia da RM Carbonífera;Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Carbonífera;Demografia da RM Carbonífera;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMcarDT1.jpg#RMcarDT2.jpg#RMcarDT3.jpg#DataMunCAR.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
90;Demografia da RM Cuiabá-Várzea Grande;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Cuiabá-Várzea Grande;Demografia da RM Cuiabá-Várzea Grande;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMcvgDe1.jpg#RMcvgDe2.jpg#RMcvgDe3.jpg#DataMunCVG.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
91;Demografia da RM Curitiba;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Curitiba;Demografia da RM Curitiba;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMcurDe1.jpg#RMcurDe2.jpg#RMcurDe3.jpg#DataMunCUR.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
92;Demografia da RM DF e entorno;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM DF e entorno;Demografia da RM DF e entorno;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMdfeDe1.jpg#RMdfeDe2.jpg#RMdfeDe3.jpg#DataMunDFE.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
93;Demografia da RM Florianópolis;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Florianópolis;Demografia da RM Florianópolis;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMfloDe1.jpg#RMfloDe2.jpg#RMfloDe3.jpg#DataMunFLO.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
94;Demografia da RM Fortaleza;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Fortaleza;Demografia da RM Fortaleza;Mapa (imagem);População total 2007 - Municípios#Densidade Demográfica 2007 - Municípios#Crescimento Demográfico 2000/2007 - Municípios#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMforDe1.jpg#RMforDe2.jpg#DataRmBr08.xls#DicRm08im.pdf#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
